gender,senior_citizen,partner,dependents,tenure_months,phone_service,internet_service,online_security,tech_support,streaming_tv,contract,paperless_billing,payment_method,monthly_charges,total_charges,calls_per_month,data_usage_gb,support_tickets,late_payments,avg_call_duration,churn,recency_score,frequency_score,monetary_score,rfm_churn_risk,charge_per_minute,support_intensity,high_complaint_flag,payment_reliability,data_per_charge,avg_calls_per_week,revenue_risk_proxy,high_charge_new_customer,fiber_no_support,mtm_echeck_risk,longtime_frustrated
1,0,0,0,35,1,1,0,1,0,1,1,0,75.34,2708.06,1,6.1,0,1,11.5,0,0.027777777777777776,0.07692307691715976,0.6278333333281014,0.44685982905891974,6.711425030978934,0.0,0,0.9722222222222222,0.07990568509300497,0.23094688221709006,33.66641952129901,0,0,0,0
0,0,0,1,2,1,1,1,0,1,0,0,3,77.93,103.54,2,5.0,1,0,7.36,1,0.3333333333333333,0.15384615383431952,0.6494166666612549,0.5623307692309714,3.4014454664914586,0.3333333333333333,0,1.0,0.06334726973267452,0.4618937644341801,43.8224368461696,0,0,0,0
1,1,1,0,10,1,1,1,0,1,2,1,3,46.96,444.88,1,65.57,1,1,8.62,0,0.09090909090909091,0.07692307691715976,0.3913333333300722,0.37751235431223334,5.101834862385322,0.09090909090909091,0,0.9090909090909091,1.367180984153461,0.23094688221709006,17.72798015850248,0,0,0,0
1,0,0,0,30,1,1,0,0,0,0,0,1,18.0,470.3,5,40.19,1,1,9.55,0,0.03225806451612903,0.3846153845857988,0.14999999999875,0.19598014888879187,0.3280781304499477,0.03225806451612903,0,0.967741935483871,2.1152631578947365,1.1547344110854503,3.5276426799982534,0,0,0,0
1,1,1,0,27,1,1,0,0,0,1,0,1,120.0,3275.43,5,10.81,0,0,9.62,0,0.03571428571428571,0.3846153845857988,0.9999999999916667,0.5373626373652212,2.52014310994845,0.0,0,1.0,0.08933884297520661,1.1547344110854503,64.48351648382653,0,0,0,0
0,0,0,0,33,1,1,1,0,0,1,1,2,74.68,2485.23,4,15.41,1,0,4.86,0,0.029411764705882353,0.30769230766863903,0.6223333333281472,0.399159577679884,3.867941853950071,0.029411764705882353,0,1.0,0.20362050739957716,0.9237875288683602,29.80923726113374,0,0,0,0
1,0,0,0,3,1,1,1,0,1,2,1,1,74.61,251.61,4,36.29,2,0,8.71,0,0.25,0.30769230766863903,0.6217499999948187,0.4871615384641997,2.384476876421531,0.5,0,1.0,0.479962967861394,0.9237875288683602,36.347122384813936,0,0,0,0
1,1,0,1,21,1,2,1,1,0,0,1,0,18.0,359.72,3,11.16,2,1,10.57,1,0.045454545454545456,0.2307692307514793,0.14999999999875,0.23202797203102235,0.539383125159317,0.09090909090909091,0,0.9545454545454546,0.5873684210526315,0.6928406466512702,4.176503496558403,0,0,1,0
1,0,1,0,72,1,2,0,0,0,1,0,0,86.72,6282.54,4,31.58,3,0,1.0,0,0.0136986301369863,0.30769230766863903,0.7226666666606444,0.4330076571853245,21.738892733564015,0.0410958904109589,1,1.0,0.36000911992704054,0.9237875288683602,37.55042403111134,0,1,0,1
0,0,1,1,72,1,1,0,1,0,0,0,3,96.91,7005.3,5,6.15,0,1,6.27,0,0.0136986301369863,0.3846153845857988,0.8075833333266034,0.4515897084682762,3.1021610131963513,0.0,0,0.9863013698630136,0.06281278725360025,1.1547344110854503,43.763558647660645,0,0,0,0
1,0,0,0,4,0,0,-1,-1,-1,0,1,1,75.15,273.44,5,0.0,1,0,1.0,1,0.2,0.3846153845857988,0.6262499999947813,0.45357692308075276,13.02095238095238,0.2,0,1.0,0.0,1.1547344110854503,34.086305769518574,0,0,0,0
1,0,0,1,67,1,2,0,0,1,2,1,2,69.02,4720.13,4,14.74,1,2,1.0,0,0.014705882352941176,0.30769230766863903,0.5751666666618735,0.3744105580721981,17.546951672862455,0.014705882352941176,0,0.9705882352941176,0.21051128249071696,0.9237875288683602,25.84181671814311,0,1,0,0
1,0,1,1,25,1,0,-1,-1,-1,2,1,0,69.08,1728.62,2,0.0,0,0,11.78,0,0.038461538461538464,0.15384615383431952,0.5756666666618694,0.4148820512824992,2.929864406779661,0.0,0,1.0,0.0,0.4618937644341801,28.660052102595046,0,0,0,0
1,0,1,0,41,1,0,-1,-1,-1,1,1,3,38.35,1582.22,4,0.0,1,0,8.88,0,0.023809523809523808,0.30769230766863903,0.3195833333306701,0.27581868132234977,1.0857052672028105,0.023809523809523808,0,1.0,0.0,0.9237875288683602,10.577646428712114,0,0,0,0
0,0,1,0,4,1,1,0,0,0,0,1,1,44.1,220.55,5,1.92,2,0,9.6,0,0.2,0.3846153845857988,0.3674999999969375,0.35007692308161525,1.1427461139896373,0.4,0,1.0,0.042572062084257206,1.1547344110854503,15.438392307899234,0,0,0,0
1,0,0,0,40,1,2,1,1,0,2,1,0,58.1,2286.18,6,5.14,1,0,11.99,0,0.024390243902439025,0.4615384615029586,0.4841666666626319,0.3111150719254367,0.7941985687486972,0.024390243902439025,0,1.0,0.08697123519458544,1.3856812933025404,18.075785678867874,0,0,0,0
0,0,1,0,2,1,2,1,0,0,0,1,0,97.99,195.34,6,25.69,0,0,5.95,1,0.3333333333333333,0.4615384615029586,0.8165833333265284,0.567658974363353,2.698066298342541,0.0,0,1.0,0.25952116375391454,1.3856812933025404,55.624902897864956,1,1,1,0
0,0,1,0,30,1,2,0,0,0,0,0,3,73.02,2156.35,4,14.61,1,0,9.9,1,0.03225806451612903,0.30769230766863903,0.6084999999949291,0.39476476427069546,1.813582842724979,0.03225806451612903,0,1.0,0.19737908673331533,0.9237875288683602,28.825723087046182,0,1,0,0
0,0,1,0,33,1,1,1,1,0,1,1,3,42.76,1350.1,8,0.57,0,1,8.24,0,0.029411764705882353,0.6153846153372781,0.3563333333303639,0.23122111614704288,0.6203477365876968,0.0,0,0.9705882352941176,0.013025594149908592,1.8475750577367205,9.887014926447554,0,0,0,0
1,1,1,1,32,1,0,-1,-1,-1,0,0,3,45.59,1485.84,5,0.0,0,0,4.01,0,0.030303030303030304,0.3846153845857988,0.3799166666635007,0.28716480186945265,2.312231559290383,0.0,0,1.0,0.0,1.1547344110854503,13.091843317228347,0,0,0,0
