customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,internet_service,online_security,tech_support,streaming_tv,contract,paperless_billing,payment_method,monthly_charges,total_charges,calls_per_month,data_usage_gb,support_tickets,late_payments,avg_call_duration,churn
CUST-000001,Male,0,No,No,35,Yes,DSL,No,Yes,No,One year,Yes,Electronic check,75.34,2708.06,1,6.1,0,1,11.5,0
CUST-000002,Female,0,No,Yes,2,Yes,DSL,Yes,No,Yes,Month-to-month,No,Credit card (automatic),77.93,103.54,2,5.0,1,0,7.36,1
CUST-000003,Male,1,Yes,No,10,Yes,DSL,Yes,No,Yes,Two year,Yes,Credit card (automatic),46.96,444.88,1,65.57,1,1,8.62,0
CUST-000004,Male,0,No,No,30,Yes,DSL,No,No,No,Month-to-month,No,Mailed check,18.0,470.3,5,40.19,1,1,9.55,0
CUST-000005,Male,1,Yes,No,27,Yes,DSL,No,No,No,One year,No,Mailed check,120.0,3275.43,5,10.81,0,0,9.62,0
CUST-000006,Female,0,No,No,33,Yes,DSL,Yes,No,No,One year,Yes,Bank transfer (automatic),74.68,2485.23,4,15.41,1,0,4.86,0
CUST-000007,Male,0,No,No,3,Yes,DSL,Yes,No,Yes,Two year,Yes,Mailed check,74.61,251.61,4,36.29,2,0,8.71,0
CUST-000008,Male,1,No,Yes,21,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Electronic check,18.0,359.72,3,11.16,2,1,10.57,1
CUST-000009,Male,0,Yes,No,72,Yes,Fiber optic,No,No,No,One year,No,Electronic check,86.72,6282.54,4,31.58,3,0,1.0,0
CUST-000010,Female,0,Yes,Yes,72,Yes,DSL,No,Yes,No,Month-to-month,No,Credit card (automatic),96.91,7005.3,5,6.15,0,1,6.27,0
CUST-000011,Male,0,No,No,4,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,75.15,273.44,5,0.0,1,0,1.0,1
CUST-000012,Male,0,No,Yes,67,Yes,Fiber optic,No,No,Yes,Two year,Yes,Bank transfer (automatic),69.02,4720.13,4,14.74,1,2,1.0,0
CUST-000013,Male,0,Yes,Yes,25,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,69.08,1728.62,2,0.0,0,0,11.78,0
CUST-000014,Male,0,Yes,No,41,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),38.35,1582.22,4,0.0,1,0,8.88,0
CUST-000015,Female,0,Yes,No,4,Yes,DSL,No,No,No,Month-to-month,Yes,Mailed check,44.1,220.55,5,1.92,2,0,9.6,0
